,Unnamed: 0,recordnum,recordtype,recordtypemapped,recordtypedesc,description,opendate,inspectiondate,lastinspresult,statuscurrent,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1
147195,147195,003810-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway. Yard is way overgrown (5+ years) and covering sections of the sidewalk. Also had rats.,2020-05-12,"{'type': 'Point', 'coordinates': [-122.38678025, 47.54878143]}",,Completed,5952 CALIFORNIA AVE SW,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003810-20CP'},47.54878143,-122.38678025,"{'latitude': '47.54878143', 'longitude': '-122.38678025'}"
147197,147197,003812-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-12,"{'type': 'Point', 'coordinates': [-122.38974493, 47.55712655]}",Completed,Completed,5012 Erskine WAY SW,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003812-20CP'},47.55712655,-122.38974493,"{'latitude': '47.55712655', 'longitude': '-122.38974493'}"
147198,147198,003813-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairwayPlant in sidewalk,2020-05-12,"{'type': 'Point', 'coordinates': [-122.38973726, 47.55697525]}",,Closed,5016 ERSKINE WAY SW,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003813-20CP'},47.55697525,-122.38973726,"{'latitude': '47.55697525', 'longitude': '-122.38973726'}"
147203,147203,003818-20CP,Complaint,Request,Weeds,Tall and wide hedge taking up half of the sidewalk. I've witnessed someone in a walker have to walk in the grass to maneuver around it.PHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e4f1823e8968df73674679c/report.jpg,2020-05-12,"{'type': 'Point', 'coordinates': [-122.40046249, 47.56509863]}",Completed,Completed,5302 SW GENESEE ST,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003818-20CP'},47.56509863,-122.40046249,"{'latitude': '47.56509863', 'longitude': '-122.40046249'}"
147207,147207,003821-20CP,Complaint,Request,Land Use,"Per Online; Trash all over their deck, overgrown back yard with rats, structures in the yard and fence falling apart and falling down, hoarding, have begun moving things to the grass in the front between the sidewalk and road. Currently there are bench seats from their vans sitting out there with a bag of concrete.",2020-05-12,"{'type': 'Point', 'coordinates': [-122.29065835, 47.61306347]}",Completed,Completed,1403 33RD AVE,SEATTLE,WA,98122.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003821-20CP'},47.61306347,-122.29065835,"{'latitude': '47.61306347', 'longitude': '-122.29065835'}"
147224,147224,003833-20CP,Complaint,Request,Weeds,Per Online; Vegetation is growing onto the sidewalk and you can not walk past.,2020-05-13,"{'type': 'Point', 'coordinates': [-122.32014116, 47.56238348]}",,Completed,4545 10th AVE S,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003833-20CP'},47.56238348,-122.32014116,"{'latitude': '47.56238348', 'longitude': '-122.32014116'}"
147249,147249,003855-20CP,Complaint,Request,Vacant Building,"I usually walk through this neighborhood in the mornings and evening and I noticed the property has been vacant. The shrubs on the curbside and in the yard of the home is overgrown. For the past three days, there has been a smell eminating from the property that reeks of dead rats and on warmer days it's much stronger. Please send someone out to address this issue. Thank you.",2020-05-13,"{'type': 'Point', 'coordinates': [-122.29366348, 47.59252496]}",Completed,Completed,1125 30TH AVE S,SEATTLE,WA,98144.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003855-20CP'},47.59252496,-122.29366348,"{'latitude': '47.59252496', 'longitude': '-122.29366348'}"
147252,147252,003857-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetation blocking sidewalk or stairwayPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5eb359f5e896dfa3fde9ba44/report.jpg,2020-05-12,"{'type': 'Point', 'coordinates': [-122.28603644, 47.6668505]}",,Closed,3810 NE 52ND ST,SEATTLE,WA,98105.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003857-20CP'},47.6668505,-122.28603644,"{'latitude': '47.6668505', 'longitude': '-122.28603644'}"
147259,147259,003864-20CP,Complaint,Request,Weeds,Per Online; Tree extending into the alley limiting access.My fear is that one day the truck driver will no longer be able to pass through and not pick up our garbage. As you can see from the Google Maps image there is no longer proper room for the garbage trucks.,2020-05-13,,,Completed,9707 Palatine AVE N,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003864-20CP'},,,
147261,147261,003866-20CP,Complaint,Request,Weeds,Holley tree extends into the ally limiting access. My fear is that one day the truck driver will no longer be able to pass through and not pick up our garbage. As you can see from the Google Maps image there is no longer proper room for the garbage trucks.,2020-05-13,,,Completed,9719 Palatine AVE N,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003866-20CP'},,,
147277,147277,003882-20CP,Complaint,Request,Weeds,Side walk mostly blocked,2020-05-11,"{'type': 'Point', 'coordinates': [-122.3512189, 47.68640933]}",,Completed,528 N 79TH ST,SEATTLE,WA,98103.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003882-20CP'},47.68640933,-122.3512189,"{'latitude': '47.68640933', 'longitude': '-122.3512189'}"
147278,147278,003883-20CP,Complaint,Request,Weeds,Hedge growing over sidewalk,2020-05-11,"{'type': 'Point', 'coordinates': [-122.26754243, 47.54454228]}",,Completed,5158 S MORGAN ST,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003883-20CP'},47.54454228,-122.26754243,"{'latitude': '47.54454228', 'longitude': '-122.26754243'}"
147279,147279,003884-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-11,"{'type': 'Point', 'coordinates': [-122.31256399, 47.55408951]}",,Completed,5321 16TH AVE S,SEATTLE,WA,98108.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003884-20CP'},47.55408951,-122.31256399,"{'latitude': '47.55408951', 'longitude': '-122.31256399'}"
147286,147286,003890-20CP,Complaint,Request,Weeds,Per CSB; Overgrownbamboo,2020-05-13,"{'type': 'Point', 'coordinates': [-122.39860693, 47.64728467]}",,Completed,3011 32ND AVE W,SEATTLE,WA,98199.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003890-20CP'},47.64728467,-122.39860693,"{'latitude': '47.64728467', 'longitude': '-122.39860693'}"
147293,147293,003896-20CP,Complaint,Request,Weeds,The sidewalk is becoming blocked from overgrown vegetation from Andover St all the way down to Genesee St. Some sections can only accommodate a single person. Please take care of soon. Thank you!,2020-05-13,"{'type': 'Point', 'coordinates': [-122.36298082, 47.56688139]}",Completed,Completed,4050 DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003896-20CP'},47.56688139,-122.36298082,"{'latitude': '47.56688139', 'longitude': '-122.36298082'}"
147294,147294,003897-20CP,Complaint,Request,Weeds,South end of Safeway parking garage,2020-05-12,"{'type': 'Point', 'coordinates': [-122.31730802, 47.68160972]}",Completed,Completed,1002 NE 73RD ST,SEATTLE,WA,98115.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003897-20CP'},47.68160972,-122.31730802,"{'latitude': '47.68160972', 'longitude': '-122.31730802'}"
147313,147313,003910-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairwayBlackberries overgrowing sidewalk,2020-05-14,"{'type': 'Point', 'coordinates': [-122.29726804, 47.61050166]}",,Completed,912 27TH AVE,SEATTLE,WA,98122.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003910-20CP'},47.61050166,-122.29726804,"{'latitude': '47.61050166', 'longitude': '-122.29726804'}"
147317,147317,003914-20CP,Complaint,Request,Weeds,The sidewalk is almost completely blocked from shrubs over growing. This is at the intersection with power pole #1360220,2020-05-14,"{'type': 'Point', 'coordinates': [-122.38413263, 47.54830543]}",Completed,Completed,6002 41st AVE SW,SEATTLE,WA,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003914-20CP'},47.54830543,-122.38413263,"{'latitude': '47.54830543', 'longitude': '-122.38413263'}"
147320,147320,003917-20CP,Complaint,Request,Weeds,"Low hanging trees, encroaching vegetation hitting cars as they drive by",2020-05-15,"{'type': 'Point', 'coordinates': [-122.36359948, 47.52268566]}",Completed,Completed,9003 24TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003917-20CP'},47.52268566,-122.36359948,"{'latitude': '47.52268566', 'longitude': '-122.36359948'}"
147333,147333,003929-20CP,Complaint,Request,Weeds,Overgrown vegetation blocking safe use of sidewalk.,2020-05-15,"{'type': 'Point', 'coordinates': [-122.28134082, 47.55060917]}",,Completed,3948 S MEAD ST,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003929-20CP'},47.55060917,-122.28134082,"{'latitude': '47.55060917', 'longitude': '-122.28134082'}"
147334,147334,003930-20CP,Complaint,Request,Weeds,Overgrown vegetation blocking safe use of sidewalk.,2020-05-15,"{'type': 'Point', 'coordinates': [-122.281551, 47.54990188]}",,Closed,3942 S Juneau ST,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003930-20CP'},47.54990188,-122.281551,"{'latitude': '47.54990188', 'longitude': '-122.281551'}"
147346,147346,003941-20CP,Complaint,Request,"Land UseVacant Building ,",Junk vehicle parked in yard - covered in weeds.,2020-05-15,"{'type': 'Point', 'coordinates': [-122.3514263, 47.52369375]}",Completed,Completed,8834 13TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003941-20CP'},47.52369375,-122.3514263,"{'latitude': '47.52369375', 'longitude': '-122.3514263'}"
147373,147373,003968-20CP,Complaint,Request,Weeds,Grass is so overgrown looks like weeds and is not coming through the fence to the next door property.,2020-05-17,"{'type': 'Point', 'coordinates': [-122.36796536, 47.66812179]}",,Closed,838 NW 54TH ST,SEATTLE,WA,98107.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003968-20CP'},47.66812179,-122.36796536,"{'latitude': '47.66812179', 'longitude': '-122.36796536'}"
147390,147390,003983-20CP,Complaint,Request,Weeds,Sidewalks unusable,2020-05-13,"{'type': 'Point', 'coordinates': [-122.35747903, 47.52304598]}",Completed,Completed,8856 18TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003983-20CP'},47.52304598,-122.35747903,"{'latitude': '47.52304598', 'longitude': '-122.35747903'}"
147391,147391,003984-20CP,Complaint,Request,Weeds,Blackberry brambles getting very tall blocking views of street/sidewalk/lightrail tracks,2020-05-13,"{'type': 'Point', 'coordinates': [-122.32811839, 47.58661593]}",Completed,Completed,1760 4th AVE S,SEATTLE,WA,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003984-20CP'},47.58661593,-122.32811839,"{'latitude': '47.58661593', 'longitude': '-122.32811839'}"
147398,147398,003991-20CP,Complaint,Request,Weeds,"Low hanging trees, encroaching vegetation causing issues for cars passing by or parking",2020-05-14,"{'type': 'Point', 'coordinates': [-122.36370371, 47.52189112]}",Completed,Completed,9033 24TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003991-20CP'},47.52189112,-122.36370371,"{'latitude': '47.52189112', 'longitude': '-122.36370371'}"
147408,147408,004000-20CP,Complaint,Request,Weeds,6foot weeds,2020-05-10,"{'type': 'Point', 'coordinates': [-122.29865291, 47.61309314]}",Completed,Completed,2600 E UNION ST,SEATTLE,WA,98122.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004000-20CP'},47.61309314,-122.29865291,"{'latitude': '47.61309314', 'longitude': '-122.29865291'}"
147412,147412,004004-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-09,"{'type': 'Point', 'coordinates': [-122.38597233, 47.58786336]}",Completed,Completed,1700 CALIFORNIA AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004004-20CP'},47.58786336,-122.38597233,"{'latitude': '47.58786336', 'longitude': '-122.38597233'}"
147413,147413,004005-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-18,"{'type': 'Point', 'coordinates': [-122.4056669, 47.57481825]}",,Completed,3233 57TH AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004005-20CP'},47.57481825,-122.4056669,"{'latitude': '47.57481825', 'longitude': '-122.4056669'}"
147415,147415,004007-20CP,Complaint,Request,Weeds,Overgrown vegetation making it difficult to walk and social distance,2020-05-14,"{'type': 'Point', 'coordinates': [-122.2836932, 47.63167536]}",Completed,Completed,1432 38TH AVE E,SEATTLE,WA,98112.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004007-20CP'},47.63167536,-122.2836932,"{'latitude': '47.63167536', 'longitude': '-122.2836932'}"
147418,147418,004010-20CP,Complaint,Request,Vacant Building,"Per Online; The abandoned structure in question is located BEHIND this address, down an easement off of 52nd Ave NE.  The King County Parcel number is 3177100005.  The actual address of the subject property is 6202 52nd Ave NE.  (This address has been decommissioned by the city)  The structure is unsafe. Suspected infestation of birds, squirrels and rats.  Garbage around structure presents a hazard.  Evidence of structure being used illegibly by drug addicts.  Vegetation",2020-05-18,"{'type': 'Point', 'coordinates': [-122.27136557, 47.67393761]}",,Closed,6200 52ND AVE NE,SEATTLE,WA,98115.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004010-20CP'},47.67393761,-122.27136557,"{'latitude': '47.67393761', 'longitude': '-122.27136557'}"
147421,147421,004012-20CP,Complaint,Request,Weeds,Overgrown vegetation making it difficult to social distance,2020-05-14,"{'type': 'Point', 'coordinates': [-122.28515815, 47.63128199]}",,Completed,1400 37TH AVE E,SEATTLE,WA,98112.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004012-20CP'},47.63128199,-122.28515815,"{'latitude': '47.63128199', 'longitude': '-122.28515815'}"
147430,147430,004021-20CP,Complaint,Request,Weeds,"Per Online; Shrubbery overgrown, encroaching onto sidewalk.",2020-05-18,"{'type': 'Point', 'coordinates': [-122.33999293, 47.64994796]}",,Completed,3520 ASHWORTH AVE N,SEATTLE,WA,98103.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004021-20CP'},47.64994796,-122.33999293,"{'latitude': '47.64994796', 'longitude': '-122.33999293'}"
147431,147431,004022-20CP,Complaint,Request,Weeds,Per Online; Shrubbery severely overgrown. Partially blocking sidewalk.,2020-05-18,"{'type': 'Point', 'coordinates': [-122.33992717, 47.65142236]}",,Completed,3632 ASHWORTH AVE N,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004022-20CP'},47.65142236,-122.33992717,"{'latitude': '47.65142236', 'longitude': '-122.33992717'}"
147436,147436,004027-20CP,Complaint,Request,Weeds,"Safety Issue -  Evergreen hedge, and the hedge to the north, has grown above and over the vertical fence line forcing people trying to adhere the City's 6' Covid19 guidelines to crowd together or walk out on the parking strip or the waiting ferry line.",2020-05-14,"{'type': 'Point', 'coordinates': [-122.39314709, 47.52482892]}",,Completed,8801 FAUNTLEROY WAY SW,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004027-20CP'},47.52482892,-122.39314709,"{'latitude': '47.52482892', 'longitude': '-122.39314709'}"
147437,147437,004028-20CP,Complaint,Request,"Land UseWeeds ,",Per CSB; overgrown vegetation/junk storage,2020-05-06,"{'type': 'Point', 'coordinates': [-122.2693972, 47.5372092]}",Completed,Completed,5118 S OTHELLO ST,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004028-20CP'},47.5372092,-122.2693972,"{'latitude': '47.5372092', 'longitude': '-122.2693972'}"
147450,147450,004040-20CP,Complaint,Request,Weeds,"Lawn/shrubbery isperpetually unmaintained, encroaching onto sidewalk and create a major eyesore for the neighborhood. This has been the case for many months now. Property appears to be abandoned. The grass is over 1.5 feet long.",2020-05-19,"{'type': 'Point', 'coordinates': [-122.39041076, 47.54372062]}",,Completed,6621 Fauntleroy WAY SW,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004040-20CP'},47.54372062,-122.39041076,"{'latitude': '47.54372062', 'longitude': '-122.39041076'}"
147460,147460,004049-20CP,Complaint,Request,Weeds,Vegetation is also Blocking view of others on the sidewalk making it hard to maintain social Distancing on a highly traveled pedestrian route to beach drive,2020-05-15,"{'type': 'Point', 'coordinates': [-122.39467308, 47.55771425]}",Completed,Completed,4820 SW HUDSON ST,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004049-20CP'},47.55771425,-122.39467308,"{'latitude': '47.55771425', 'longitude': '-122.39467308'}"
147462,147462,004051-20CP,Complaint,Request,Weeds,Overgrown grass / occupants of house are healthy young adults,2020-05-13,"{'type': 'Point', 'coordinates': [-122.35470372, 47.53302004]}",,Completed,7724 16TH AVE SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004051-20CP'},47.53302004,-122.35470372,"{'latitude': '47.53302004', 'longitude': '-122.35470372'}"
147464,147464,004053-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-14,"{'type': 'Point', 'coordinates': [-122.41310191, 47.57514657]}",,Completed,3226 63RD AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004053-20CP'},47.57514657,-122.41310191,"{'latitude': '47.57514657', 'longitude': '-122.41310191'}"
147466,147466,004055-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-14,"{'type': 'Point', 'coordinates': [-122.40781871, 47.57994616]}",,Completed,2648 59TH AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004055-20CP'},47.57994616,-122.40781871,"{'latitude': '47.57994616', 'longitude': '-122.40781871'}"
147468,147468,004057-20CP,Complaint,Request,Weeds,Trees and vegetation covering sidewalk,2020-05-14,"{'type': 'Point', 'coordinates': [-122.38626785, 47.52832076]}",Completed,Completed,4201 SW THISTLE ST,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004057-20CP'},47.52832076,-122.38626785,"{'latitude': '47.52832076', 'longitude': '-122.38626785'}"
147471,147471,004060-20CP,Complaint,Request,Weeds,It's not blocking anything however it attracts garbage and litter because it looks like no one's taking care of it and whoever its property it belongs to they never take care of it but now it's getting to the point of weeds growing and contributing pollen and more weeds throughout the neighborhood mostly dandelions but it's starting to smell funny as well and that one tree that looks like it's dying should just be removed because it's ugly. It just really puts an eye sore on,2020-05-14,"{'type': 'Point', 'coordinates': [-122.27459814, 47.52351756]}",,Completed,4540 S HENDERSON ST,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004060-20CP'},47.52351756,-122.27459814,"{'latitude': '47.52351756', 'longitude': '-122.27459814'}"
147472,147472,004061-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-14,"{'type': 'Point', 'coordinates': [-122.40636241, 47.58045905]}",,Completed,2609 58TH AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004061-20CP'},47.58045905,-122.40636241,"{'latitude': '47.58045905', 'longitude': '-122.40636241'}"
147474,147474,004063-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-15,"{'type': 'Point', 'coordinates': [-122.28469869, 47.62638589]}",,Completed,807 HILLSIDE DR E,SEATTLE,WA,98112.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004063-20CP'},47.62638589,-122.28469869,"{'latitude': '47.62638589', 'longitude': '-122.28469869'}"
147477,147477,004066-20CP,Complaint,Request,"Emergency , Vacant Building","Vacant building, open to entry, overgrown and junk",2020-05-19,"{'type': 'Point', 'coordinates': [-122.36397553, 47.63624312]}",Completed,Completed,1907 5TH AVE W,SEATTLE,WA,98119.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004066-20CP'},47.63624312,-122.36397553,"{'latitude': '47.63624312', 'longitude': '-122.36397553'}"
147479,147479,004068-20CP,Complaint,Request,"Emergency , Vacant Building","Open to entry, overgrown and junk storage",2020-05-19,"{'type': 'Point', 'coordinates': [-122.32668863, 47.64051764]}",Completed,Completed,2324 YALE AVE E,SEATTLE,WA,98102.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004068-20CP'},47.64051764,-122.32668863,"{'latitude': '47.64051764', 'longitude': '-122.32668863'}"
147480,147480,004069-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-14,"{'type': 'Point', 'coordinates': [-122.40288265, 47.58212626]}",,Completed,2405 55TH AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004069-20CP'},47.58212626,-122.40288265,"{'latitude': '47.58212626', 'longitude': '-122.40288265'}"
147482,147482,004071-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-15,"{'type': 'Point', 'coordinates': [-122.28229432, 47.62956921]}",,Closed,1132 39TH AVE E,SEATTLE,WA,98112.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004071-20CP'},47.62956921,-122.28229432,"{'latitude': '47.62956921', 'longitude': '-122.28229432'}"
147485,147485,004073-20CP,Complaint,Request,Weeds,Overgrown vegetation on planting strip as tall as cars. Should be 7708 highland parkway unit A's responsibility.,2020-05-11,"{'type': 'Point', 'coordinates': [-122.34668317, 47.5334025]}",,Completed,7708 HIGHLAND PARK WAY SW,SEATTLE,WA,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004073-20CP'},47.5334025,-122.34668317,"{'latitude': '47.5334025', 'longitude': '-122.34668317'}"
147495,147495,004079-20CP,Complaint,Request,Weeds,"This homeowner has created an over grown garden against the side walk on one side in the parking strip on the other. The overgrowth is impeding pedestrians on the side walk. In addition, each time a pedestrian walks by with a dog, the homeowner bangs on their window to force you to walk by their house quickly.  They are creating a trip hazard on the sidewalk and impeding people from using the sidewalk by their hostile behavior.",2020-05-19,"{'type': 'Point', 'coordinates': [-122.39927685, 47.64945831]}",,Completed,3224 33RD AVE W,SEATTLE,WA,98199.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004079-20CP'},47.64945831,-122.39927685,"{'latitude': '47.64945831', 'longitude': '-122.39927685'}"
147510,147510,004093-20CP,Complaint,Request,Land Use,"Property if full of engines, engine parts, garbage, non operational cars both front and back, expanded past property and have 2 non operational car parked across the street,  most cars have bashed out windows and clearly do not operate, flat tires and mold and moss.  The property has excessive oil spills due to leaking cars.  The property is a hazmat risk and the occupants don't keep up a thing.  Running a generator 24/7 for electricity for 5 years as well  ( filed noise compl",2020-05-20,"{'type': 'Point', 'coordinates': [-122.38697749, 47.51244854]}",Completed,Completed,10046 CALIFORNIA AVE SW,SEATTLE,WA,98146.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004093-20CP'},47.51244854,-122.38697749,"{'latitude': '47.51244854', 'longitude': '-122.38697749'}"
147525,147525,004108-20CP,Complaint,Request,Weeds,It is difficult to social distance on the sidewalk due to overgrown vegetation.,2020-05-17,"{'type': 'Point', 'coordinates': [-122.399476, 47.57908964]}",Completed,Completed,5209 SW ADMIRAL WAY,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004108-20CP'},47.57908964,-122.399476,"{'latitude': '47.57908964', 'longitude': '-122.399476'}"
147527,147527,004110-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-16,"{'type': 'Point', 'coordinates': [-122.40023392, 47.56001372]}",,Completed,5266 SW JACOBSEN RD,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004110-20CP'},47.56001372,-122.40023392,"{'latitude': '47.56001372', 'longitude': '-122.40023392'}"
147528,147528,004111-20CP,Complaint,Request,Weeds,Blocking street or alley,2020-05-17,"{'type': 'Point', 'coordinates': [-122.35203242, 47.70524079]}",,Completed,526 N 105TH ST,SEATTLE,WA,98133.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004111-20CP'},47.70524079,-122.35203242,"{'latitude': '47.70524079', 'longitude': '-122.35203242'}"
147530,147530,004113-20CP,Complaint,Request,Weeds,Ada inacacessible,2020-05-17,"{'type': 'Point', 'coordinates': [-122.35931089, 47.71880526]}",Completed,Completed,12232 2ND AVE NW,SEATTLE,WA,98177.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004113-20CP'},47.71880526,-122.35931089,"{'latitude': '47.71880526', 'longitude': '-122.35931089'}"
147531,147531,004114-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-17,"{'type': 'Point', 'coordinates': [-122.37730948, 47.57856383]}",,Completed,2723 36TH AVE SW,SEATTLE,WA,98126.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004114-20CP'},47.57856383,-122.37730948,"{'latitude': '47.57856383', 'longitude': '-122.37730948'}"
147533,147533,004115-20CP,Complaint,Request,Weeds,Blocking sidewalk or stairway,2020-05-17,"{'type': 'Point', 'coordinates': [-122.38288771, 47.57108728]}",,Completed,3703 40TH AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004115-20CP'},47.57108728,-122.38288771,"{'latitude': '47.57108728', 'longitude': '-122.38288771'}"
147534,147534,004116-20CP,Complaint,Request,Weeds,Vegetation is growing to where you need to duck down to get through it on the sidewalk in front of their house.,2020-05-18,"{'type': 'Point', 'coordinates': [-122.3846613, 47.55111189]}",,Completed,5633 41ST AVE SW,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004116-20CP'},47.55111189,-122.3846613,"{'latitude': '47.55111189', 'longitude': '-122.3846613'}"
